name,price,specification,description
Brown Embroidered Cotton Panjabi,"As low asTk 3,172.09","['Cotton', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Brown cotton panjabi with multicolour embroidery detailing. Features in-seam side pockets.
Black Embroidered Joysree Silk Panjabi,"As low asTk 4,241.86","['Joysree Silk', 'Exclusive Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Black joysree silk panjabi with beige and red embroidery detailing. Features in-seam side pockets.
Brown Striped Printed and Erri Embroidered Muslin-Cotton Panjabi,"As low asTk 8,358.14","['Blended Muslin (Muslin+Cotton)', 'Machine Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Brown printed cotton panjabi  with baby pink-black erri embroidery on neck and placket. Features white embroidery and black appliqued over striped muslin fabric. Features in-seam side pockets.
Yellow/White Ombre Dyed Addi  and Embroidered Cotton Panjabi,"As low asTk 3,055.81","['Addi Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Yellow and white ombre dyed addi cotton panjabi with white embroidery. Features in-seam side pockets.
Light Brown/Orange Chalk Printed and Ombre Dyed Viscose-Cotton Panjabi,"As low asTk 1,744.19","['Viscott (Viscose & Cotton)', 'Screen Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Light brown and orange chalk ombre dyed viscose-cotton panjabi with prints across the panjabi. Features in-seam side pockets.
Black Textured and Embroidered Cotton Panjabi,"As low asTk 2,441.86","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Black textured cotton panjabi with red embroidery detailing. Features in-seam side pockets.
Aqua Glass Textured and Embroidered Viscose Panjabi,"As low asTk 2,939.53","['Viscose', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']",Aqua glass jacquard textured viscose panjabi with pastel green embroidery detailing. Features in-seam side pockets.
White Textured Embroidered Cotton Slim Fit Panjabi,"As low asTk 3,004.65","['Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","White textured cotton slim fit panjabi with navy blue, grey and beige embroidery detailing. Features in-seam side pockets."
Orange Chalk Printed Endi Silk-Cotton Panjabi,"As low asTk 4,451.16","['SICO (Silk & Cotton)', 'Screen Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Shades of orange chalk printed endi silk-cotton panjabi. Features in-seam side pockets.
Moss Green Embroidered Endi Silk Panjabi,"As low asTk 5,534.88","['Endi Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Moss green endi silk panjabi with green and blue embroidery. Features in-seam side pockets.
Beige Embroidered Mixed Endi Cotton Panjabi,"As low asTk 6,488.37","['SICO (Silk & Cotton)', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']","Beige endi silk-cotton panjabi with beige, yellow and white embroidery. Features in-seam side pockets."
Ecru Printed Endi Silk Panjabi,"As low asTk 4,046.51","['Endi Silk', 'Screen Print', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Ecru endi silk panjabi with shades of blue and chocolate prints. Features in-seam side pockets.
Coffee Embroidered Endi Cotton Panjabi,"As low asTk 4,265.12","['Endi Cotton', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Coffee endi cotton panjabi with brown and black embroidery. Features in-seam side pockets.
Off White Embroidered Joysree Silk Panjabi,"As low asTk 3,065.12","['Joysree Silk', 'Hand Embroidery', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Dry Clean']",Off white joysree silk panjabi with white embroidery detailing. Features in-seam side pockets.
Black Embroidered Silk Panjabi Pajama Set,"As low asTk 4,400.00","['Silk', 'Exclusive Hand Embroidery', 'Chino Pants', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Dry Clean']","Black silk panjabi with shades of green embroidery. Comes with black cotton pajama. Features elastic waist, drawstring and in-seam side pockets."
Jade Lime Printed and Embroidered Viscose-Cotton Panjabi Pajama Set with Coaty,"As low asTk 3,353.49","['Viscose', 'Machine Embroidery', 'Chino Pants', 'Long', 'Band Collar', 'Side Pocket', 'Side Open', 'Full Sleeve', 'Long', 'Elastic Waist', 'Clean With Soft Dry Brush And Keep It In a Dry Place']","Jade lime printed viscose-cotton panjabi with embroidered coaty. Comes with white viscose pajama. Features elastic waist, drawstring and in-seam side pockets."
